# Timestep	Num_Clusters	Max_Cluster_Size
1607	14	3419
1608	10	3423
1609	5	3428
1610	8	3425
1611	8	3425
1612	7	3426
1613	12	3421
1614	8	3424
1615	10	3422
1616	13	3420
1617	11	3421
1618	9	3424
1619	11	3422
1620	10	3423
1621	6	3427
1622	9	3423
1623	13	3420
1624	9	3424
1625	6	3427
1626	8	3424
1627	12	3421
1628	9	3424
1629	6	3427
1630	17	3415
1631	9	3424
1632	10	3423
1633	8	3425
1634	9	3424
1635	7	3426
1636	9	3424
1637	10	3422
1638	8	3425
1639	8	3425
1640	11	3422
1641	11	3422
1642	6	3427
1643	16	3417
1644	6	3427
1645	10	3423
1646	18	3414
1647	11	3422
1648	9	3424
1649	5	3428
1650	7	3425
1651	7	3426
1652	8	3425
1653	12	3421
1654	12	3421
1655	15	3418
1656	12	3421
1657	10	3422
1658	8	3425
1659	10	3423
1660	10	3422
1661	8	3425
1662	10	3423
1663	8	3425
1664	15	3417
1665	12	3421
1666	5	3428
1667	12	3420
1668	11	3422
1669	15	3418
1670	12	3421
1671	11	3421
1672	11	3422
1673	8	3424
1674	8	3424
1675	10	3423
1676	8	3424
1677	5	3428
1678	11	3422
1679	8	3425
1680	15	3417
1681	9	3424
1682	9	3423
1683	14	3413
1684	12	3420
1685	8	3425
1686	10	3422
1687	12	3419
1688	16	3411
1689	8	3425
1690	10	3422
1691	13	3420
1692	12	3421
1693	7	3426
1694	9	3423
1695	7	3426
1696	9	3419
1697	12	3414
1698	11	3421
1699	9	3423
1700	9	3424
1701	10	3423
1702	8	3425
1703	10	3423
1704	7	3425
1705	8	3424
1706	6	3427
1707	8	3425
1708	4	3428
1709	5	3428
1710	9	3423
1711	10	3423
1712	6	3427
1713	10	3422
1714	8	3425
1715	12	3415
1716	13	3420
1717	6	3427
1718	11	3422
1719	9	3424
1720	10	3423
1721	11	3422
1722	9	3423
1723	8	3424
1724	8	3425
1725	9	3418
1726	9	3424
1727	11	3421
1728	6	3427
1729	10	3422
1730	9	3424
1731	12	3418
1732	8	3424
1733	11	3421
1734	10	3422
1735	8	3425
1736	10	3423
1737	5	3428
1738	10	3423
1739	10	3422
1740	13	3420
1741	11	3422
1742	10	3423
1743	8	3424
1744	9	3424
1745	11	3422
1746	6	3427
1747	6	3426
1748	8	3425
1749	10	3423
1750	10	3422
1751	5	3428
1752	8	3424
1753	12	3421
1754	8	3425
1755	7	3425
1756	3	3430
1757	11	3421
1758	6	3426
1759	10	3423
1760	12	3421
1761	6	3427
1762	9	3423
1763	12	3421
1764	9	3424
1765	11	3422
1766	9	3424
1767	9	3424
1768	8	3425
1769	4	3429
1770	6	3425
1771	11	3422
1772	12	3421
1773	7	3426
1774	10	3422
1775	10	3422
1776	10	3423
1777	8	3424
1778	12	3420
1779	12	3421
1780	10	3422
1781	5	3428
1782	9	3424
1783	11	3421
1784	6	3427
1785	9	3424
1786	11	3422
1787	4	3429
1788	5	3428
1789	7	3425
1790	9	3424
1791	11	3422
1792	9	3423
1793	7	3426
1794	11	3422
1795	10	3422
1796	13	3415
1797	6	3427
1798	7	3426
1799	13	3420
1800	7	3426
1801	10	3422
1802	9	3424
1803	11	3416
1804	11	3422
1805	7	3426
1806	10	3423
1807	15	3417
1808	9	3424
1809	7	3425
1810	9	3424
1811	6	3426
1812	9	3424
1813	10	3421
1814	10	3423
1815	8	3425
1816	12	3421
1817	11	3422
1818	14	3418
1819	13	3420
1820	14	3418
1821	7	3425
1822	10	3423
1823	16	3417
1824	14	3419
1825	9	3422
1826	12	3421
1827	8	3425
1828	6	3427
1829	10	3423
1830	11	3422
1831	11	3421
1832	10	3422
1833	8	3425
1834	13	3420
1835	9	3423
1836	10	3423
1837	7	3426
1838	15	3418
1839	12	3421
1840	11	3421
1841	9	3423
1842	9	3424
1843	9	3424
1844	9	3423
1845	14	3418
1846	12	3420
1847	10	3422
1848	9	3424
1849	10	3423
1850	8	3425
1851	8	3425
1852	15	3418
1853	14	3418
1854	11	3421
1855	9	3424
1856	9	3419
1857	9	3424
1858	12	3421
