# Hop_Value_(h)	PDF
11.95254388	0.00000000
11.96517104	0.00000000
11.97779819	0.00000000
11.99042534	0.00000000
12.00305250	0.00000000
12.01567965	0.00000000
12.02830680	0.00000000
12.04093395	0.00000000
12.05356111	0.00000000
12.06618826	0.00000000
12.07881541	0.00000000
12.09144257	0.00000000
12.10406972	0.00000000
12.11669687	0.00000000
12.12932403	0.00000000
12.14195118	0.00000000
12.15457833	0.00000000
12.16720549	0.00000000
12.17983264	0.00000000
12.19245979	0.00000000
12.20508695	0.00000000
12.21771410	0.00000000
12.23034125	0.00000000
12.24296841	0.00000000
12.25559556	0.00000000
12.26822271	0.00000000
12.28084986	0.00000000
12.29347702	0.00000000
12.30610417	0.00000000
12.31873132	0.00000000
12.33135848	0.00000000
12.34398563	0.00000000
12.35661278	0.00000000
12.36923994	0.00000000
12.38186709	0.00000000
12.39449424	0.00000000
12.40712140	0.00000000
12.41974855	0.00000000
12.43237570	0.00000000
12.44500286	0.00000000
12.45763001	0.00000000
12.47025716	0.00000000
12.48288432	0.00000000
12.49551147	0.00000000
12.50813862	0.00000000
12.52076577	0.00000000
12.53339293	0.00000001
12.54602008	0.00000006
12.55864723	0.00000025
12.57127439	0.00000078
12.58390154	0.00000189
12.59652869	0.00000354
12.60915585	0.00000515
12.62178300	0.00000584
