# Timestep	Num_Clusters	Max_Cluster_Size
1215	13	3420
1216	13	3419
1217	10	3423
1218	13	3418
1219	13	3420
1220	10	3423
1221	9	3424
1222	10	3422
1223	12	3421
1224	7	3425
1225	12	3421
1226	14	3414
1227	8	3425
1228	9	3424
1229	9	3423
1230	11	3422
1231	12	3419
1232	14	3418
1233	9	3424
1234	11	3406
1235	10	3423
1236	8	3425
1237	10	3421
1238	13	3420
1239	7	3426
1240	7	3426
1241	15	3418
1242	9	3423
1243	11	3421
1244	11	3422
1245	11	3422
1246	12	3420
1247	15	3418
1248	14	3419
1249	12	3420
1250	8	3425
1251	12	3421
1252	13	3420
1253	12	3421
1254	13	3420
1255	14	3419
1256	13	3414
1257	11	3422
1258	12	3421
1259	16	3417
1260	11	3417
1261	10	3423
1262	10	3423
1263	10	3423
1264	11	3417
1265	10	3423
1266	8	3425
1267	14	3416
1268	8	3424
1269	12	3421
1270	11	3422
1271	8	3420
1272	10	3423
1273	9	3423
1274	14	3419
1275	13	3419
1276	10	3423
1277	13	3420
1278	9	3423
1279	11	3422
1280	12	3421
1281	11	3421
1282	13	3420
1283	9	3424
1284	11	3422
1285	16	3417
1286	16	3417
1287	13	3415
1288	8	3425
1289	8	3424
1290	12	3421
1291	8	3420
1292	11	3422
1293	14	3417
1294	12	3420
1295	4	3429
1296	5	3428
1297	8	3424
1298	11	3422
1299	12	3421
1300	9	3423
1301	14	3419
1302	11	3421
1303	11	3421
1304	12	3421
1305	11	3422
1306	10	3423
1307	7	3426
1308	12	3421
1309	12	3421
1310	13	3420
1311	9	3423
1312	13	3420
1313	7	3426
1314	8	3425
1315	9	3424
1316	13	3419
1317	14	3418
1318	10	3422
1319	5	3428
1320	7	3426
1321	6	3427
1322	13	3419
1323	15	3417
1324	9	3418
1325	11	3420
1326	11	3421
1327	6	3427
1328	9	3424
1329	10	3418
1330	14	3419
1331	8	3425
1332	8	3425
1333	11	3422
1334	10	3423
1335	13	3419
1336	9	3424
1337	8	3425
1338	2	3431
1339	12	3421
1340	13	3420
1341	13	3420
1342	10	3423
1343	9	3424
1344	9	3423
1345	13	3419
1346	12	3420
1347	8	3424
1348	11	3422
1349	15	3418
1350	11	3422
1351	9	3424
1352	6	3427
1353	10	3423
1354	11	3422
1355	13	3420
1356	10	3422
1357	8	3425
1358	11	3422
1359	8	3425
1360	10	3423
1361	12	3414
1362	7	3425
1363	8	3425
1364	10	3423
1365	11	3422
1366	11	3422
1367	12	3421
1368	7	3425
1369	13	3420
1370	9	3424
1371	12	3420
1372	12	3420
1373	11	3422
1374	9	3424
1375	4	3429
1376	7	3426
1377	8	3425
1378	12	3416
1379	12	3421
1380	14	3419
1381	9	3424
1382	14	3413
1383	7	3426
1384	9	3424
1385	11	3422
1386	8	3420
1387	9	3424
1388	6	3422
1389	17	3410
1390	8	3424
1391	9	3424
1392	10	3418
1393	13	3420
1394	6	3427
1395	11	3422
1396	7	3426
1397	13	3420
1398	13	3420
1399	13	3420
1400	10	3423
1401	13	3418
1402	12	3420
1403	9	3424
1404	13	3420
1405	11	3422
1406	9	3423
1407	13	3419
1408	12	3420
1409	6	3427
1410	16	3416
1411	12	3421
1412	9	3424
1413	8	3424
1414	15	3417
1415	9	3424
1416	8	3424
1417	10	3423
1418	12	3420
1419	9	3423
1420	14	3414
1421	9	3424
1422	15	3418
1423	11	3417
1424	10	3423
1425	8	3425
1426	6	3427
1427	11	3421
1428	7	3426
1429	10	3422
1430	10	3423
1431	9	3424
1432	13	3420
1433	11	3422
1434	14	3419
